time_lsl,bpm
7014.958657026291,71.0
7015.962591942573,72.0
7016.975729998375,72.0
7017.926324135335,72.0
7018.927910024398,72.0
7019.903884822601,72.0
7020.885358983749,73.0
7021.898480881702,73.0
7022.881703127872,73.0
7023.868053067543,73.0
7024.88692699752,73.0
7025.870497761062,73.0
7026.855874595932,73.0
7027.90081086039,73.0
7028.88486876368,73.0
7029.840474570831,73.0
7030.857615912994,74.0
7031.846396442212,74.0
7032.832038811706,74.0
7034.841301373504,75.0
7035.829370749664,74.0
7036.84623314209,74.0
7037.835434366387,74.0
7038.822562624138,74.0
7039.840858392414,73.0
7040.8296150490605,73.0
7041.818825523434,73.0
7042.836895982799,73.0
7043.826133431305,73.0
7044.8460680855405,73.0
7045.8385869040985,73.0
7046.8341861739655,73.0
7047.821688933162,73.0
7048.842767281321,73.0
7049.833963827087,72.0
7050.824686721756,72.0
7051.840187903591,72.0
7052.828924533077,72.0
7053.84760017947,72.0
7054.836532073772,72.0
7055.826248634503,73.0
7056.814373958752,73.0
7057.835622096158,73.0
7058.825289988614,73.0
7059.823763871289,74.0
7060.862974667645,74.0
7061.854372984172,74.0
7062.812628990413,74.0
7063.832603148914,74.0
7064.833754143025,73.0
7065.811184486653,73.0
7066.830782017018,74.0
7067.8215610443185,74.0
7068.8100411354135,74.0
7069.84120186787,74.0
7070.840984804818,75.0
7071.827366573998,75.0
7072.845781548211,76.0
7073.835201901973,77.0
7074.823202771724,77.0
7075.84166154527,77.0
7076.830505939954,77.0
7077.821319630436,77.0
7078.838689616016,77.0
7079.82673334634,77.0
7080.815944667217,76.0
7081.834889368805,76.0
7082.824729161057,75.0
7083.813403932132,75.0
7084.832438079395,75.0
7085.822988671547,75.0
7086.812904757744,75.0
7087.832297047394,75.0
7088.821942051666,75.0
7089.811407957226,74.0
7090.830722484738,74.0
7091.820231557727,74.0
7092.810028434635,74.0
7093.86027958918,74.0
7094.849044590477,73.0
7095.80904735173,73.0
7096.830105271809,73.0
7097.820174184315,73.0
7098.809703555577,73.0
7099.828305665917,72.0
7100.832807247109,72.0
7101.831835334374,72.0
7102.84293562658,71.0
7103.859373020439,71.0
7104.826429294853,70.0
7105.867626128116,70.0
7106.835031924167,70.0
7107.814879916763,70.0
7108.835144780731,70.0
7109.823282892681,70.0
7110.824953253246,71.0
7111.855351869221,71.0
7112.84186977541,71.0
7113.839960128055,71.0
7114.847679406391,71.0
7115.835201028343,70.0
7116.822463038918,70.0
7117.841102416595,70.0
7118.840325648865,70.0
7119.819577175781,70.0
7120.837777334854,70.0
7121.826497908416,70.0
7122.816359070446,70.0
7123.837641981747,70.0
7124.826789168026,70.0
7125.8150830529175,71.0
7126.864951875015,71.0
7127.853164931443,71.0
7128.813838775306,71.0
7129.832974488883,72.0
7130.823191936164,72.0
7131.812360290081,73.0
7132.833124164135,73.0
7133.824378526364,74.0
7134.813187635098,74.0
7135.832775647652,74.0
7136.822974498284,74.0
7137.813418550075,74.0
7138.833835048259,74.0
7139.8218077621,74.0
7140.823104997589,74.0
7141.86382357024,74.0
7142.841022171009,73.0
7143.8281936589665,73.0
7144.846025699753,74.0
7145.834627594555,74.0
7146.821764196957,74.0
7147.840646235363,75.0
7148.843039004223,76.0
7149.817295694473,77.0
7150.8361603261255,77.0
7151.837928742828,77.0
7152.838065356674,77.0
7153.853382978211,77.0
7154.84118159559,77.0
7155.828772146966,77.0
7156.846747000482,76.0
7157.834586926254,76.0
7158.854111977371,76.0
7159.8756979934915,76.0
7160.863638304923,75.0
7161.822377588916,75.0
7162.839552071262,75.0
7163.8286358985715,75.0
7164.818210330945,75.0
7165.83749377152,74.0
7166.826646918264,74.0
7167.816700905281,74.0
7168.835057180431,73.0
7169.825978200939,73.0
7170.8173412494925,73.0
7171.833747130218,73.0
7172.823595982376,74.0
7173.822009825817,74.0
7174.833949146258,74.0
7175.823494491565,74.0
7176.814098176944,74.0
7177.833092617337,74.0
7178.823960232083,74.0
7179.81396858004,73.0
7180.832351606163,73.0
7181.822297186077,73.0
7182.812569231212,73.0
7183.834989831845,73.0
7184.823887870709,72.0
7185.817783160992,73.0
7186.841495080776,73.0
7187.830936410255,73.0
7188.819266536064,73.0
7189.840154658978,73.0
7190.8291847817345,73.0
7191.81804019915,72.0
7192.877529926171,72.0
