time_lsl,x_mG,y_mG,z_mG
167919.30754030883,-878.0,143.0,298.0
167919.32731376158,-877.0,143.0,293.0
167919.34708721435,-876.0,142.0,289.0
167919.3668606671,-877.0,144.0,290.0
167919.38663411984,-879.0,142.0,291.0
167919.40640757262,-879.0,142.0,291.0
167919.42618102537,-877.0,140.0,294.0
167919.4459544781,-876.0,145.0,295.0
167919.4657279309,-877.0,145.0,295.0
167919.48550138363,-878.0,147.0,294.0
167919.50527483638,-875.0,144.0,289.0
167919.52504828916,-876.0,141.0,290.0
167919.5448217419,-874.0,142.0,288.0
167919.56459519468,-877.0,141.0,292.0
167919.58436864743,-878.0,146.0,294.0
167919.60414210017,-879.0,143.0,293.0
167919.62391555295,-878.0,142.0,292.0
167919.6436890057,-878.0,141.0,291.0
167919.66346245844,-877.0,141.0,289.0
167919.68323591122,-874.0,140.0,290.0
167919.70300936396,-875.0,140.0,292.0
167919.7227828167,-875.0,142.0,291.0
167919.74255626948,-878.0,144.0,294.0
167919.76232972223,-878.0,144.0,294.0
167919.78210317498,-876.0,145.0,293.0
167919.80187662775,-875.0,146.0,296.0
167919.8216500805,-876.0,144.0,296.0
167919.84142353327,-877.0,142.0,296.0
167919.86119698602,-879.0,140.0,292.0
167919.88097043877,-879.0,141.0,294.0
167919.90074389154,-878.0,139.0,292.0
167919.9205173443,-875.0,136.0,286.0
167919.94029079704,-873.0,139.0,287.0
167919.9600642498,-875.0,144.0,289.0
167919.97983770256,-880.0,142.0,288.0
167919.9996111553,-882.0,141.0,291.0
167920.01938460808,-879.0,141.0,299.0
167920.03915806083,-877.0,139.0,302.0
167920.05893151357,-875.0,136.0,305.0
167920.07870496635,-874.0,141.0,301.0
167920.0984784191,-875.0,139.0,297.0
167920.11825187187,-875.0,137.0,295.0
167920.13802532462,-876.0,136.0,295.0
167920.15779877736,-877.0,137.0,296.0
167920.17757223014,-876.0,133.0,297.0
167920.1973456829,-875.0,135.0,300.0
167920.21711913563,-875.0,140.0,300.0
167920.2368925884,-876.0,139.0,300.0
167920.25666604115,-877.0,141.0,297.0
167920.2764394939,-879.0,142.0,293.0
167920.29621294668,-884.0,144.0,289.0
167920.31598639942,-883.0,142.0,285.0
167920.33575985217,-877.0,135.0,287.0
167920.35553330494,-873.0,133.0,290.0
167920.3753067577,-873.0,129.0,293.0
167920.39508021047,-875.0,135.0,297.0
167920.4148536632,-878.0,137.0,298.0
167920.43462711596,-880.0,139.0,294.0
167920.45440056873,-873.0,132.0,297.0
167920.47417402148,-870.0,126.0,306.0
167920.49394747423,-870.0,125.0,314.0
167920.513720927,-874.0,131.0,316.0
167920.53349437975,-883.0,141.0,310.0
167920.5532678325,-886.0,141.0,299.0
167920.57304128527,-882.0,138.0,290.0
167920.59281473802,-877.0,132.0,287.0
167920.61258819076,-874.0,129.0,285.0
167920.63236164354,-874.0,129.0,285.0
167920.6521350963,-875.0,136.0,289.0
167920.67190854906,-878.0,146.0,291.0
167920.6916820018,-877.0,146.0,286.0
167920.71145545456,-875.0,145.0,291.0
167920.73122890733,-874.0,145.0,295.0
167920.75100236008,-878.0,145.0,293.0
167920.77077581282,-881.0,139.0,296.0
167920.7905492656,-882.0,140.0,305.0
167920.81032271835,-880.0,142.0,303.0
167920.8300961711,-878.0,139.0,297.0
167920.84986962387,-875.0,136.0,289.0
167920.8696430766,-873.0,133.0,285.0
167920.88941652936,-873.0,130.0,286.0
167920.90918998214,-878.0,135.0,296.0
167920.92896343488,-886.0,141.0,300.0
167920.94873688766,-882.0,140.0,300.0
167920.9685103404,-877.0,138.0,304.0
167920.98828379315,-872.0,137.0,303.0
167921.00805724593,-872.0,128.0,302.0
167921.02783069867,-874.0,125.0,305.0
167921.04760415142,-877.0,125.0,305.0
167921.0673776042,-883.0,130.0,297.0
167921.08715105694,-887.0,131.0,289.0
167921.1069245097,-882.0,131.0,284.0
167921.12669796246,-879.0,127.0,285.0
167921.1464714152,-877.0,128.0,286.0
167921.16624486796,-875.0,131.0,290.0
167921.18601832073,-874.0,138.0,292.0
167921.20579177348,-872.0,151.0,295.0
167921.22556522625,-872.0,158.0,295.0
167921.245338679,-875.0,158.0,300.0
167921.26511213175,-883.0,156.0,298.0
167921.28488558452,-887.0,150.0,295.0
167921.30465903727,-881.0,140.0,298.0
167921.32443249002,-877.0,127.0,306.0
167921.3442059428,-875.0,115.0,309.0
167921.36397939554,-875.0,114.0,311.0
167921.38375284828,-875.0,119.0,312.0
167921.40352630106,-878.0,127.0,305.0
167921.4232997538,-877.0,144.0,296.0
167921.44307320655,-876.0,152.0,285.0
167921.46284665933,-873.0,145.0,283.0
167921.48262011207,-872.0,142.0,288.0
167921.50239356485,-875.0,148.0,301.0
167921.5221670176,-884.0,147.0,310.0
167921.54194047034,-881.0,134.0,305.0
167921.56171392312,-874.0,121.0,314.0
167921.58148737586,-871.0,106.0,320.0
167921.6012608286,-874.0,102.0,316.0
167921.6210342814,-876.0,102.0,310.0
167921.64080773413,-875.0,99.0,308.0
167921.66058118688,-872.0,98.0,310.0
167921.68035463965,-871.0,98.0,323.0
167921.7001280924,-872.0,100.0,331.0
167921.71990154515,-878.0,103.0,329.0
167921.73967499792,-880.0,113.0,325.0
167921.75944845067,-876.0,124.0,319.0
167921.77922190345,-870.0,128.0,312.0
167921.7989953562,-869.0,124.0,311.0
167921.81876880894,-871.0,119.0,311.0
167921.8385422617,-873.0,120.0,306.0
167921.85831571446,-874.0,125.0,303.0
167921.8780891672,-875.0,120.0,303.0
167921.89786261998,-877.0,107.0,304.0
167921.91763607273,-886.0,114.0,306.0
167921.93740952548,-885.0,129.0,305.0
167921.95718297825,-873.0,136.0,303.0
167921.976956431,-870.0,141.0,296.0
167921.99672988374,-872.0,138.0,296.0
167922.01650333652,-874.0,134.0,299.0
167922.03627678927,-874.0,125.0,310.0
167922.05605024204,-871.0,122.0,320.0
167922.0758236948,-872.0,116.0,331.0
167922.09559714753,-876.0,122.0,340.0
167922.1153706003,-881.0,119.0,335.0
167922.13514405306,-880.0,115.0,325.0
167922.1549175058,-873.0,117.0,311.0
167922.17469095858,-868.0,124.0,293.0
167922.19446441132,-864.0,138.0,282.0
167922.21423786407,-867.0,142.0,277.0
167922.23401131685,-874.0,138.0,289.0
167922.2537847696,-897.0,132.0,315.0
167922.27355822234,-915.0,121.0,328.0
167922.29333167512,-900.0,116.0,321.0
167922.31310512786,-875.0,111.0,317.0
167922.33287858064,-866.0,114.0,313.0
167922.35265203338,-865.0,115.0,318.0
167922.37242548613,-870.0,116.0,318.0
167922.3921989389,-875.0,112.0,325.0
167922.41197239165,-881.0,111.0,332.0
167922.4317458444,-886.0,112.0,330.0
167922.45151929717,-881.0,114.0,308.0
167922.47129274992,-873.0,124.0,300.0
167922.49106620267,-870.0,133.0,295.0
167922.51083965544,-872.0,138.0,297.0
167922.5306131082,-876.0,132.0,303.0
167922.55038656094,-879.0,122.0,306.0
167922.5701600137,-878.0,113.0,312.0
167922.58993346646,-876.0,109.0,319.0
167922.60970691923,-875.0,106.0,323.0
167922.62948037198,-877.0,108.0,325.0
167922.64925382473,-875.0,112.0,325.0
167922.6690272775,-872.0,112.0,323.0
167922.68880073025,-868.0,105.0,324.0
167922.708574183,-869.0,103.0,328.0
167922.72834763577,-871.0,103.0,332.0
167922.74812108852,-876.0,103.0,328.0
167922.76789454126,-879.0,103.0,327.0
167922.78766799404,-877.0,103.0,325.0
167922.80744144678,-873.0,102.0,331.0
167922.82721489953,-870.0,107.0,327.0
167922.8469883523,-869.0,109.0,319.0
167922.86676180505,-870.0,100.0,313.0
167922.88653525783,-870.0,98.0,319.0
167922.90630871058,-873.0,99.0,321.0
167922.92608216332,-877.0,98.0,317.0
167922.9458556161,-879.0,98.0,335.0
167922.96562906884,-884.0,101.0,338.0
167922.9854025216,-880.0,99.0,329.0
167923.00517597437,-874.0,98.0,321.0
167923.0249494271,-870.0,98.0,317.0
167923.04472287986,-869.0,98.0,324.0
167923.06449633263,-870.0,98.0,327.0
167923.08426978538,-871.0,98.0,331.0
167923.10404323813,-874.0,97.0,334.0
167923.1238166909,-876.0,96.0,330.0
167923.14359014365,-876.0,95.0,328.0
167923.16336359642,-874.0,93.0,327.0
167923.18313704917,-872.0,97.0,332.0
167923.20291050192,-871.0,97.0,333.0
167923.2226839547,-871.0,98.0,333.0
167923.24245740744,-872.0,97.0,329.0
167923.2622308602,-872.0,95.0,329.0
167923.28200431296,-874.0,95.0,326.0
167923.3017777657,-872.0,95.0,328.0
167923.32155121845,-872.0,95.0,327.0
167923.34132467123,-871.0,96.0,324.0
167923.36109812398,-872.0,96.0,325.0
167923.38087157672,-874.0,96.0,323.0
167923.4006450295,-873.0,97.0,323.0
167923.42041848224,-875.0,98.0,327.0
167923.44019193502,-874.0,96.0,325.0
167923.45996538777,-874.0,96.0,324.0
167923.4797388405,-873.0,94.0,328.0
167923.4995122933,-872.0,93.0,333.0
167923.51928574604,-872.0,93.0,335.0
167923.53905919878,-873.0,94.0,335.0
167923.55883265156,-875.0,93.0,325.0
167923.5786061043,-873.0,92.0,326.0
167923.59837955705,-871.0,92.0,338.0
167923.61815300983,-872.0,93.0,325.0
167923.63792646257,-872.0,94.0,329.0
167923.65769991532,-876.0,96.0,337.0
167923.6774733681,-875.0,93.0,333.0
167923.69724682084,-874.0,94.0,324.0
167923.71702027362,-873.0,94.0,326.0
167923.73679372636,-871.0,94.0,328.0
167923.7565671791,-869.0,94.0,325.0
167923.77634063188,-867.0,91.0,316.0
167923.79611408463,-867.0,91.0,313.0
167923.81588753738,-870.0,92.0,318.0
167923.83566099015,-874.0,95.0,329.0
167923.8554344429,-881.0,95.0,328.0
167923.87520789565,-874.0,92.0,318.0
167923.89498134842,-869.0,92.0,317.0
