time_lsl,uV
80938.96483881002,-58.0
80938.97252113608,-61.0
80938.98020346214,-61.0
80938.9878857882,-61.0
80938.99556811426,-63.0
80939.00325044034,-63.0
80939.0109327664,-66.0
80939.01861509246,-66.0
80939.02629741852,-63.0
80939.03397974459,-63.0
80939.04166207065,-63.0
80939.04934439671,-63.0
80939.05702672277,-61.0
80939.06470904885,-61.0
80939.07239137491,-61.0
80939.08007370097,-61.0
80939.08775602703,-61.0
80939.0954383531,-63.0
80939.10312067917,-63.0
80939.11080300523,-68.0
80939.11848533129,-68.0
80939.12616765735,-73.0
80939.13384998342,-80.0
80939.14153230948,-73.0
80939.14921463554,-51.0
80939.1568969616,-26.0
80939.16457928768,-17.0
80939.17226161374,-26.0
80939.1799439398,-41.0
80939.18762626586,-51.0
80939.19530859194,-58.0
80939.202990918,-61.0
80939.21067324406,-58.0
80939.21835557012,-58.0
80939.2260378962,-58.0
80939.23372022226,-58.0
80939.24140254832,-58.0
80939.24908487438,-56.0
80939.25676720044,-56.0
80939.26444952651,-56.0
80939.27213185257,-70.0
80939.27981417863,-70.0
80939.2874965047,107.0
80939.29517883077,530.0
80939.30286115683,858.0
80939.31054348289,652.0
80939.31822580895,97.0
80939.32590813503,-173.0
80939.33359046109,-107.0
80939.34127278715,-102.0
80939.34895511321,-154.0
80939.35663743928,-132.0
80939.36431976534,-117.0
80939.3720020914,-127.0
80939.37968441746,-119.0
80939.38736674353,-107.0
80939.3950490696,-107.0
80939.40273139566,-102.0
80939.41041372172,-92.0
80939.41809604778,-85.0
80939.42577837386,-80.0
80939.43346069992,-70.0
80939.44114302598,-66.0
80939.44882535204,-58.0
80939.45650767811,-51.0
80939.46419000418,-44.0
80939.47187233024,-36.0
80939.4795546563,-29.0
80939.48723698237,-22.0
80939.49491930843,-14.0
80939.5026016345,-7.0
80939.51028396055,-4.0
80939.51796628661,-4.0
80939.52564861269,-4.0
80939.53333093875,-7.0
80939.54101326481,-9.0
80939.54869559087,-9.0
80939.55637791695,-12.0
80939.564060243,-17.0
80939.57174256907,-24.0
80939.57942489513,-31.0
80939.5871072212,-41.0
80939.59478954726,-48.0
80939.60247187332,-61.0
80939.61015419938,-75.0
80939.61783652546,-85.0
80939.62551885152,-88.0
80939.63320117758,-88.0
80939.64088350364,-90.0
80939.6485658297,-90.0
80939.65624815578,-88.0
80939.66393048184,-88.0
80939.6716128079,-85.0
80939.67929513396,-80.0
80939.68697746003,-78.0
80939.6946597861,-73.0
80939.70234211216,-68.0
80939.71002443822,-68.0
80939.71770676429,-68.0
80939.72538909035,-63.0
80939.73307141641,-61.0
80939.74075374247,-61.0
80939.74843606855,-63.0
80939.75611839461,-68.0
80939.76380072067,-68.0
80939.77148304673,-66.0
80939.77916537279,-68.0
80939.78684769887,-68.0
80939.79453002493,-68.0
80939.80221235099,-70.0
80939.80989467705,-70.0
80939.81757700312,-70.0
80939.82525932918,-73.0
80939.83294165524,-73.0
80939.8406239813,-70.0
80939.84830630738,-70.0
80939.85598863344,-70.0
80939.8636709595,-68.0
80939.87135328556,-66.0
80939.87903561162,-66.0
80939.8867179377,-66.0
80939.89440026376,-66.0
80939.90208258982,-63.0
80939.90976491588,-61.0
80939.91744724195,-61.0
80939.92512956802,-58.0
80939.93281189408,-58.0
80939.94049422014,-58.0
80939.94817654621,-56.0
80939.95585887227,-56.0
80939.96354119833,-61.0
80939.9712235244,-66.0
80939.97890585047,-61.0
80939.98658817653,-44.0
80939.99427050259,-19.0
80940.00195282865,-4.0
80940.00963515471,-14.0
80940.01731748079,-34.0
80940.02499980685,-48.0
80940.0326821329,-56.0
80940.04036445897,-56.0
80940.04804678504,-53.0
80940.0557291111,-56.0
80940.06341143716,-58.0
80940.07109376322,-56.0
80940.0787760893,-58.0
80940.08645841536,-56.0
80940.09414074142,-53.0
80940.10182306748,-53.0
80940.10950539356,-68.0
80940.11718771962,-78.0
80940.12487004568,75.0
80940.13255237174,484.0
80940.1402346978,831.0
80940.14791702387,665.0
80940.15559934994,122.0
80940.163281676,-163.0
80940.17096400206,-105.0
80940.17864632813,-90.0
80940.18632865419,-141.0
80940.19401098025,-124.0
80940.20169330631,-110.0
80940.20937563239,-124.0
80940.21705795845,-117.0
80940.22474028451,-102.0
80940.23242261057,-100.0
80940.24010493665,-95.0
80940.2477872627,-88.0
80940.25546958877,-88.0
80940.26315191483,-83.0
80940.27083424089,-70.0
80940.27851656696,-61.0
80940.28619889302,-56.0
80940.29388121908,-56.0
80940.30156354514,-51.0
80940.30924587122,-44.0
80940.31692819728,-36.0
80940.32461052334,-31.0
80940.3322928494,-24.0
80940.33997517548,-22.0
