time_lsl,BreathingValue
167924.89274934857,1023.0
167924.91250298513,1023.0
167924.9322566217,1023.0
167924.95201025825,1023.0
167924.97176389484,1023.0
167924.9915175314,1023.0
167925.01127116795,1023.0
167925.0310248045,1023.0
167925.0507784411,1023.0
167925.07053207766,1023.0
167925.09028571422,1023.0
167925.11003935078,1023.0
167925.12979298737,1023.0
167925.14954662393,1023.0
167925.1693002605,1023.0
167925.18905389705,1023.0
167925.2088075336,1023.0
167925.2285611702,1023.0
167925.24831480675,1023.0
167925.2680684433,1023.0
167925.28782207987,1023.0
167925.30757571646,1023.0
167925.32732935302,1023.0
167925.34708298958,1023.0
167925.36683662614,1023.0
167925.38659026273,1023.0
167925.4063438993,1023.0
167925.42609753585,1023.0
167925.4458511724,1023.0
167925.46560480897,1023.0
167925.48535844556,1023.0
167925.50511208212,1023.0
167925.52486571867,1023.0
167925.54461935523,1023.0
167925.56437299182,1023.0
167925.58412662838,1023.0
167925.60388026494,1023.0
167925.6236339015,1023.0
167925.6433875381,1023.0
167925.66314117465,1023.0
167925.6828948112,1023.0
167925.70264844777,1023.0
167925.72240208436,1023.0
167925.74215572092,1023.0
167925.76190935748,1023.0
167925.78166299404,1023.0
167925.8014166306,1023.0
167925.82117026718,1023.0
167925.84092390374,1023.0
167925.8606775403,1023.0
167925.88043117686,1023.0
167925.90018481345,1023.0
167925.91993845,1023.0
167925.93969208657,1023.0
167925.95944572313,1023.0
167925.97919935972,1023.0
167925.99895299628,1023.0
167926.01870663284,1023.0
167926.0384602694,1023.0
167926.05821390596,1023.0
167926.07796754254,1023.0
167926.0977211791,1023.0
167926.11747481566,1023.0
167926.13722845222,1023.0
167926.1569820888,1023.0
167926.17673572537,1023.0
167926.19648936193,1023.0
167926.2162429985,1023.0
167926.23599663508,1023.0
167926.25575027164,1023.0
167926.2755039082,1023.0
167926.29525754476,1023.0
167926.31501118134,1023.0
167926.3347648179,1023.0
167926.35451845446,1023.0
167926.37427209102,1023.0
167926.39402572758,1023.0
167926.41377936417,1023.0
167926.43353300073,1023.0
167926.4532866373,1023.0
167926.47304027385,1023.0
167926.49279391044,1023.0
167926.512547547,1023.0
167926.53230118356,1023.0
167926.55205482012,1023.0
167926.5718084567,1023.0
167926.59156209326,1023.0
167926.61131572982,1023.0
167926.63106936638,1023.0
167926.65082300294,1023.0
167926.67057663953,1023.0
167926.6903302761,1023.0
167926.71008391265,1023.0
167926.7298375492,1023.0
167926.7495911858,1023.0
167926.76934482236,1023.0
167926.78909845892,1023.0
167926.80885209548,1023.0
167926.82860573207,1023.0
167926.84835936863,1023.0
167926.86811300518,1023.0
167926.88786664174,1023.0
167926.90762027833,1023.0
167926.9273739149,1023.0
167926.94712755145,1023.0
167926.966881188,1023.0
167926.98663482457,1023.0
167927.00638846116,1023.0
167927.02614209772,1023.0
167927.04589573428,1021.0
167927.06564937084,1023.0
167927.08540300743,1021.0
167927.105156644,1023.0
167927.12491028055,1023.0
167927.1446639171,1023.0
167927.1644175537,1023.0
167927.18417119025,1023.0
167927.2039248268,1023.0
167927.22367846337,1023.0
167927.24343209993,1023.0
167927.26318573652,1023.0
167927.28293937308,1012.0
167927.30269300964,996.0
167927.3224466462,967.0
167927.3422002828,937.0
167927.36195391935,907.0
167927.3817075559,883.0
167927.40146119246,860.0
