time_lsl,t_device,uV,device,seq,fs
222970.20426768815,1756024862.027839,-103,H10,5,130.0
222970.21195999582,1756024862.027839,-101,H10,5,130.0
222970.21965230352,1756024862.027839,-103,H10,5,130.0
222970.22734461122,1756024862.027839,-103,H10,5,130.0
222970.23503691892,1756024862.027839,-101,H10,5,130.0
222970.2427292266,1756024862.027839,-98,H10,5,130.0
222970.2504215343,1756024862.027839,-98,H10,5,130.0
222970.258113842,1756024862.027839,-96,H10,5,130.0
222970.2658061497,1756024862.027839,-93,H10,5,130.0
222970.27349845736,1756024862.027839,-93,H10,5,130.0
222970.28119076506,1756024862.027839,-91,H10,5,130.0
222970.28888307276,1756024862.027839,-91,H10,5,130.0
222970.29657538046,1756024862.027839,-91,H10,5,130.0
222970.30426768813,1756024862.027839,-93,H10,5,130.0
222970.31195999583,1756024862.027839,-93,H10,5,130.0
222970.31965230353,1756024862.027839,-91,H10,5,130.0
222970.32734461123,1756024862.027839,-91,H10,5,130.0
222970.3350369189,1756024862.027839,-91,H10,5,130.0
222970.3427292266,1756024862.027839,-91,H10,5,130.0
222970.3504215343,1756024862.027839,-91,H10,5,130.0
222970.358113842,1756024862.027839,-91,H10,5,130.0
222970.3658061497,1756024862.027839,-91,H10,5,130.0
222970.37349845737,1756024862.027839,-93,H10,5,130.0
222970.38119076507,1756024862.027839,-96,H10,5,130.0
222970.38888307277,1756024862.027839,-84,H10,5,130.0
222970.39657538047,1756024862.027839,-64,H10,5,130.0
222970.40426768814,1756024862.027839,-45,H10,5,130.0
222970.4580264703,1756024862.566824,-45,H10,6,130.0
222970.465718778,1756024862.566824,-60,H10,6,130.0
222970.4734110857,1756024862.566824,-74,H10,6,130.0
222970.48110339337,1756024862.566824,-81,H10,6,130.0
222970.48879570107,1756024862.566824,-84,H10,6,130.0
222970.49648800876,1756024862.566824,-81,H10,6,130.0
222970.50418031646,1756024862.566824,-81,H10,6,130.0
222970.51187262413,1756024862.566824,-84,H10,6,130.0
222970.51956493183,1756024862.566824,-88,H10,6,130.0
222970.52725723953,1756024862.566824,-91,H10,6,130.0
222970.53494954723,1756024862.566824,-91,H10,6,130.0
222970.5426418549,1756024862.566824,-88,H10,6,130.0
222970.5503341626,1756024862.566824,-84,H10,6,130.0
222970.5580264703,1756024862.566824,-86,H10,6,130.0
222970.565718778,1756024862.566824,-103,H10,6,130.0
222970.57341108567,1756024862.566824,-76,H10,6,130.0
222970.58110339337,1756024862.566824,158,H10,6,130.0
