time_lsl,t_device,x_mG,y_mG,z_mG,device,seq,fs,range_g
222969.83471736088,1756024862.116689,-798,60,475,H10,5,50.0,4
222969.85471736087,1756024862.116689,-798,63,478,H10,5,50.0,4
222969.87471736086,1756024862.116689,-803,64,479,H10,5,50.0,4
222969.89471736088,1756024862.116689,-803,67,479,H10,5,50.0,4
222969.91471736087,1756024862.116689,-802,64,477,H10,5,50.0,4
222969.93471736088,1756024862.116689,-801,63,476,H10,5,50.0,4
222969.95471736087,1756024862.116689,-802,60,477,H10,5,50.0,4
222969.97471736086,1756024862.116689,-805,61,476,H10,5,50.0,4
222969.99471736088,1756024862.116689,-802,59,475,H10,5,50.0,4
222970.01471736087,1756024862.116689,-797,60,477,H10,5,50.0,4
222970.03471736086,1756024862.116689,-800,62,479,H10,5,50.0,4
222970.05471736088,1756024862.116689,-803,63,479,H10,5,50.0,4
222970.07471736087,1756024862.116689,-804,64,480,H10,5,50.0,4
222970.09471736086,1756024862.116689,-805,63,477,H10,5,50.0,4
222970.11471736088,1756024862.116689,-807,63,473,H10,5,50.0,4
222970.13471736087,1756024862.116689,-802,65,469,H10,5,50.0,4
222970.15471736086,1756024862.116689,-799,61,471,H10,5,50.0,4
222970.17471736087,1756024862.116689,-799,64,474,H10,5,50.0,4
222970.19471736086,1756024862.116689,-799,65,476,H10,5,50.0,4
222970.21471736088,1756024862.116689,-801,63,479,H10,5,50.0,4
222970.23471736087,1756024862.116689,-802,65,479,H10,5,50.0,4
222970.25471736086,1756024862.116689,-802,66,476,H10,5,50.0,4
222970.27471736088,1756024862.116689,-803,67,477,H10,5,50.0,4
222970.29471736087,1756024862.116689,-801,66,476,H10,5,50.0,4
222970.31471736086,1756024862.116689,-803,62,476,H10,5,50.0,4
222970.33471736088,1756024862.116689,-803,62,477,H10,5,50.0,4
222970.35471736087,1756024862.116689,-802,62,476,H10,5,50.0,4
222970.37471736086,1756024862.116689,-801,61,475,H10,5,50.0,4
222970.39471736088,1756024862.116689,-800,61,475,H10,5,50.0,4
222970.41471736087,1756024862.116689,-800,62,477,H10,5,50.0,4
222970.43471736088,1756024862.116689,-802,60,478,H10,5,50.0,4
222970.45471736087,1756024862.116689,-802,63,479,H10,5,50.0,4
222970.47471736086,1756024862.116689,-805,63,478,H10,5,50.0,4
222970.49471736088,1756024862.116689,-803,65,477,H10,5,50.0,4
222970.51322803195,1756024862.8366919,-802,63,480,H10,6,50.0,4
222970.53322803194,1756024862.8366919,-799,61,479,H10,6,50.0,4
222970.55322803196,1756024862.8366919,-807,63,473,H10,6,50.0,4
222970.57322803195,1756024862.8366919,-807,65,466,H10,6,50.0,4
222970.59322803194,1756024862.8366919,-799,59,478,H10,6,50.0,4
222970.61322803196,1756024862.8366919,-799,56,482,H10,6,50.0,4
222970.63322803195,1756024862.8366919,-804,66,481,H10,6,50.0,4
222970.65322803197,1756024862.8366919,-805,67,469,H10,6,50.0,4
222970.67322803196,1756024862.8366919,-800,64,471,H10,6,50.0,4
222970.69322803195,1756024862.8366919,-793,66,481,H10,6,50.0,4
222970.71322803196,1756024862.8366919,-801,67,480,H10,6,50.0,4
222970.73322803195,1756024862.8366919,-808,64,473,H10,6,50.0,4
222970.75322803194,1756024862.8366919,-808,61,470,H10,6,50.0,4
222970.77322803196,1756024862.8366919,-802,62,473,H10,6,50.0,4
222970.79322803195,1756024862.8366919,-801,63,477,H10,6,50.0,4
222970.81322803194,1756024862.8366919,-804,66,479,H10,6,50.0,4
222970.83322803196,1756024862.8366919,-802,65,480,H10,6,50.0,4
222970.85322803195,1756024862.8366919,-802,64,479,H10,6,50.0,4
222970.87322803194,1756024862.8366919,-802,65,478,H10,6,50.0,4
222970.89322803196,1756024862.8366919,-805,63,477,H10,6,50.0,4
222970.91322803195,1756024862.8366919,-807,61,479,H10,6,50.0,4
222970.93322803196,1756024862.8366919,-809,61,476,H10,6,50.0,4
222970.95322803195,1756024862.8366919,-802,57,479,H10,6,50.0,4
222970.97322803194,1756024862.8366919,-797,61,481,H10,6,50.0,4
