time_lsl,ad
62147.75524973914,764.0
62147.775000701855,764.0
62147.79475166457,765.0
62147.81450262728,767.0
62147.83425359,771.0
62147.85400455272,772.0
62147.87375551543,772.0
62147.89350647815,768.0
62147.913257440865,759.0
62147.933008403576,746.0
62147.95275936629,729.0
62147.97251032901,716.0
62147.99226129172,711.0
62148.01201225444,718.0
62148.03176321716,732.0
62148.05151417987,750.0
62148.071265142586,762.0
62148.0910161053,771.0
62148.11076706802,771.0
62148.13051803073,769.0
62148.15026899345,766.0
62148.17001995617,762.0
62148.18977091888,761.0
62148.209521881596,759.0
62148.22927284431,757.0
62148.249023807024,754.0
62148.26877476974,751.0
62148.28852573246,750.0
62148.30827669517,749.0
62148.32802765789,749.0
62148.347778620606,749.0
62148.367529583316,745.0
62148.387280546034,742.0
62148.40703150875,738.0
62148.42678247146,735.0
62148.44653343418,734.0
62148.4662843969,734.0
62148.486035359616,734.0
62148.50578632233,733.0
62148.525537285044,730.0
62148.54528824776,726.0
62148.56503921047,720.0
62148.58479017319,713.0
62148.60454113591,704.0
62148.62429209862,691.0
62148.64404306134,677.0
62148.663794024054,667.0
62148.683544986765,667.0
62148.70329594948,675.0
62148.7230469122,691.0
62148.74279787491,706.0
62148.76254883763,715.0
62148.78229980035,716.0
62148.80205076306,712.0
62148.821801725775,705.0
62148.84155268849,698.0
62148.8613036512,696.0
62148.88105461392,693.0
62148.90080557664,692.0
62148.92055653936,689.0
62148.94030750207,685.0
62148.960058464785,680.0
62148.9798094275,679.0
62148.99956039021,677.0
62149.01931135293,679.0
62149.03906231565,679.0
62149.05881327836,677.0
62149.07856424108,675.0
62149.098315203795,671.0
62149.118066166506,667.0
62149.13781712922,666.0
62149.15756809194,663.0
62149.17731905465,664.0
62149.19707001737,663.0
62149.21682098009,662.0
62149.2365719428,660.0
62149.256322905516,656.0
62149.276073868234,648.0
62149.295824830944,639.0
62149.31557579366,624.0
62149.33532675638,610.0
62149.3550777191,600.0
62149.37482868181,600.0
62149.394579644526,612.0
62149.414330607244,629.0
62149.434081569954,646.0
62149.45383253267,656.0
62149.47358349539,658.0
62149.4933344581,654.0
62149.51308542082,649.0
62149.532836383536,643.0
62149.55258734625,643.0
62149.572338308964,642.0
62149.59208927168,643.0
62149.61184023439,641.0
62149.63159119711,637.0
62149.65134215983,634.0
62149.67109312254,632.0
62149.69084408526,634.0
62149.710595047974,635.0
62149.730346010685,637.0
62149.7500969734,636.0
62149.76984793612,635.0
62149.78959889884,632.0
62149.80934986155,632.0
62149.82910082427,630.0
62149.848851786985,631.0
62149.868602749695,632.0
62149.88835371241,634.0
62149.90810467513,633.0
62149.92785563784,633.0
62149.94760660056,629.0
62149.96735756328,623.0
62149.98710852599,612.0
62150.006859488705,598.0
62150.02661045142,585.0
62150.04636141413,581.0
62150.06611237685,588.0
62150.08586333957,605.0
62150.10561430228,625.0
62150.125365265,640.0
62150.145116227715,646.0
62150.164867190426,643.0
62150.184618153144,637.0
62150.20436911586,633.0
62150.22412007858,632.0
62150.24387104129,635.0
62150.26362200401,639.0
62150.283372966725,641.0
62150.303123929436,640.0
62150.322874892154,638.0
62150.34262585487,636.0
62150.36237681758,637.0
62150.3821277803,637.0
62150.40187874302,636.0
62150.42162970573,629.0
62150.441380668446,619.0
62150.461131631164,602.0
62150.480882593874,584.0
62150.50063355659,565.0
62150.52038451931,546.0
62150.54013548202,527.0
62150.55988644474,505.0
62150.579637407456,480.0
62150.59938837017,453.0
62150.619139332885,426.0
62150.6388902956,397.0
62150.65864125832,370.0
62150.67839222103,338.0
62150.69814318375,310.0
62150.717894146466,286.0
62150.73764510918,272.0
62150.757396071895,269.0
62150.77714703461,271.0
62150.79689799732,271.0
62150.81664896004,260.0
62150.83639992276,242.0
62150.85615088547,218.0
62150.87590184819,198.0
62150.895652810905,182.0
62150.915403773615,170.0
62150.93515473633,159.0
62150.95490569905,148.0
62150.97465666176,136.0
62150.99440762448,124.0
62151.0141585872,112.0
62151.03390954991,101.0
62151.053660512625,89.0
62151.07341147534,78.0
62151.09316243806,65.0
62151.11291340077,54.0
62151.13266436349,44.0
62151.15241532621,32.0
62151.17216628892,20.0
62151.191917251635,10.0
62151.21166821435,3.0
62151.231419177064,0.0
62151.25117013978,0.0
62151.2709211025,0.0
62151.29067206521,0.0
62151.31042302793,0.0
62151.330173990646,0.0
62151.349924953356,0.0
62151.369675916074,0.0
62151.38942687879,0.0
62151.4091778415,0.0
62151.42892880422,0.0
62151.44867976694,0.0
62151.46843072965,0.0
62151.488181692366,0.0
62151.507932655084,0.0
62151.5276836178,0.0
62151.54743458051,0.0
62151.56718554323,0.0
62151.58693650595,0.0
62151.60668746866,0.0
62151.626438431376,0.0
62151.646189394094,0.0
62151.665940356805,0.0
62151.68569131952,0.0
62151.70544228224,0.0
62151.72519324495,0.0
62151.74494420767,0.0
62151.76469517039,0.0
62151.7844461331,0.0
62151.804197095815,9.0
62151.82394805853,18.0
62151.84369902124,38.0
62151.86344998396,59.0
62151.88320094668,83.0
62151.9029519094,108.0
62151.92270287211,128.0
62151.942453834825,146.0
62151.96220479754,158.0
62151.98195576025,171.0
62152.00170672297,187.0
62152.02145768569,211.0
62152.0412086484,242.0
62152.06095961112,277.0
62152.080710573835,312.0
62152.100461536545,344.0
62152.12021249926,370.0
62152.13996346198,392.0
62152.15971442469,413.0
62152.17946538741,433.0
62152.19921635013,455.0
62152.21896731284,479.0
62152.238718275556,504.0
62152.25846923827,530.0
62152.278220200984,553.0
62152.2979711637,576.0
62152.31772212642,598.0
62152.33747308914,618.0
62152.35722405185,636.0
62152.376975014566,654.0
62152.39672597728,671.0
62152.416476939994,688.0
62152.43622790271,703.0
62152.45597886543,717.0
62152.47572982814,728.0
62152.49548079086,737.0
62152.515231753576,746.0
62152.534982716286,753.0
62152.554733679004,761.0
62152.57448464172,766.0
62152.59423560443,768.0
62152.61398656715,764.0
62152.63373752987,759.0
62152.65348849258,757.0
62152.6732394553,759.0
62152.692990418014,769.0
62152.712741380725,784.0
62152.73249234344,800.0
62152.75224330616,811.0
62152.77199426888,820.0
62152.79174523159,823.0
62152.81149619431,823.0
62152.831247157024,824.0
62152.850998119735,822.0
62152.87074908245,823.0
62152.89050004517,821.0
62152.91025100788,821.0
62152.9300019706,820.0
62152.94975293332,819.0
62152.96950389603,819.0
62152.989254858745,819.0
62153.00900582146,820.0
62153.02875678417,818.0
62153.04850774689,817.0
62153.06825870961,814.0
62153.08800967232,811.0
62153.10776063504,809.0
62153.127511597755,806.0
62153.147262560466,803.0
62153.16701352318,802.0
62153.1867644859,799.0
62153.20651544862,798.0
62153.22626641133,792.0
62153.24601737405,783.0
62153.265768336765,769.0
62153.285519299476,754.0
62153.30527026219,745.0
62153.32502122491,743.0
62153.34477218762,753.0
62153.36452315034,767.0
62153.38427411306,781.0
62153.40402507577,789.0
62153.423776038486,789.0
62153.4435270012,785.0
62153.463277963914,779.0
62153.48302892663,775.0
62153.50277988935,770.0
62153.52253085206,768.0
62153.54228181478,764.0
62153.562032777496,761.0
62153.58178374021,756.0
