time_lsl,uV
7014.793927343881,-2.0
7014.801619651573,19.0
7014.809311959265,4.0
7014.817004266957,-7.0
7014.824696574649,19.0
7014.832388882342,-19.0
7014.840081190034,4.0
7014.847773497726,12.0
7014.855465805418,-14.0
7014.86315811311,16.0
7014.8708504208025,-7.0
7014.878542728495,0.0
7014.886235036187,19.0
7014.893927343879,-16.0
7014.901619651571,14.0
7014.9093119592635,4.0
7014.917004266956,-7.0
7014.924696574648,19.0
7014.93238888234,-16.0
7014.940081190032,4.0
7014.9477734977245,12.0
7014.955465805417,-16.0
7014.963158113109,14.0
7014.970850420801,-12.0
7014.978542728493,-12.0
7014.9862350361855,12.0
7014.993927343878,-16.0
7015.00161965157,9.0
7015.009311959262,0.0
7015.017004266954,-9.0
7015.024696574646,19.0
7015.032388882339,-16.0
7015.040081190031,-4.0
7015.047773497723,0.0
7015.055465805415,-24.0
7015.063158113107,9.0
7015.0708504208,-14.0
7015.078542728492,-14.0
7015.0629351166535,4.0
7015.070627424346,-28.0
7015.078319732038,0.0
7015.08601203973,-7.0
7015.093704347422,-21.0
7015.1013966551145,4.0
7015.109088962807,-31.0
7015.116781270499,-12.0
7015.124473578191,-2.0
7015.132165885883,-38.0
7015.1398581935755,-9.0
7015.147550501268,-24.0
7015.15524280896,-9.0
7015.162935116652,24.0
7015.170627424344,-9.0
7015.1783197320365,7.0
7015.186012039729,-2.0
7015.193704347421,-19.0
7015.201396655113,7.0
7015.209088962805,-19.0
7015.216781270497,-2.0
7015.22447357819,7.0
7015.232165885882,-24.0
7015.239858193574,4.0
7015.247550501266,-12.0
7015.255242808958,-12.0
7015.262935116651,9.0
7015.270627424343,-19.0
7015.278319732035,-7.0
7015.286012039727,9.0
7015.293704347419,180.0
7015.301396655112,496.0
7015.309088962804,541.0
7015.316781270496,296.0
7015.324473578188,26.0
7015.33216588588,-48.0
7015.339858193573,-2.0
7015.347550501265,-55.0
7015.355242808957,-67.0
7015.362935116649,-31.0
7015.370627424341,-65.0
7015.378319732034,-43.0
7015.386012039726,-36.0
7015.393704347418,-52.0
7015.40139665511,-31.0
7015.409088962802,-55.0
7015.4167812704945,-40.0
7015.424473578187,-28.0
7015.432165885879,-52.0
7015.439858193571,-26.0
7015.447550501263,-40.0
7015.4552428089555,-40.0
7015.462935116648,-19.0
7015.47062742434,-45.0
7015.478319732032,-16.0
7015.486012039724,-12.0
7015.4937043474165,-31.0
7015.501396655109,-2.0
7015.509088962801,-16.0
7015.516781270493,-4.0
7015.524473578185,4.0
7015.5321658858775,-21.0
7015.53985819357,0.0
7015.547550501262,-14.0
7015.555242808954,-21.0
7015.562935116646,-4.0
7015.570627424338,-33.0
7015.578319732031,-26.0
7015.586012039723,-43.0
7015.593704347415,-77.0
7015.601396655107,-65.0
7015.609088962799,-98.0
7015.616781270492,-101.0
7015.642484824653,-96.0
7015.650177132346,-125.0
7015.657869440038,-105.0
7015.66556174773,-125.0
7015.673254055422,-137.0
7015.680946363114,-115.0
7015.6886386708065,-146.0
7015.696330978499,-139.0
7015.704023286191,-137.0
7015.711715593883,-151.0
7015.719407901575,-137.0
7015.7271002092675,-161.0
7015.73479251696,-146.0
7015.742484824652,-139.0
7015.750177132344,-171.0
7015.757869440036,-139.0
7015.7655617477285,-146.0
7015.773254055421,-156.0
7015.780946363113,-134.0
7015.788638670805,-158.0
7015.796330978497,-139.0
7015.8040232861895,-146.0
7015.811715593882,-171.0
7015.819407901574,-139.0
7015.827100209266,-158.0
7015.834792516958,-156.0
7015.8424848246505,-144.0
7015.850177132343,-166.0
7015.857869440035,-139.0
7015.865561747727,-156.0
7015.873254055419,-166.0
7015.880946363111,-142.0
7015.888638670804,-168.0
7015.896330978496,-144.0
7015.904023286188,-142.0
7015.91171559388,-163.0
7015.919407901572,-137.0
7015.927100209265,-163.0
7015.934792516957,-156.0
7015.942484824649,-139.0
7015.950177132341,-173.0
7015.957869440033,-146.0
7015.965561747726,-161.0
7015.973254055418,-171.0
7015.98094636311,-139.0
7015.988638670802,-171.0
7015.996330978494,-161.0
7016.004023286187,-166.0
7016.011715593879,-192.0
7016.019407901571,-163.0
7016.027100209263,-185.0
7016.034792516955,-175.0
7016.0424848246475,-166.0
7016.05017713234,-211.0
7016.057869440032,-190.0
7016.065561747724,-207.0
7016.073254055416,-221.0
7016.0809463631085,-195.0
7016.088638670801,-226.0
7016.096330978493,-224.0
7016.104023286185,-228.0
7016.111715593877,-144.0
7016.1194079015695,151.0
7016.127100209262,308.0
7016.134792516954,142.0
7016.142484824646,-154.0
7016.150177132338,-286.0
7016.1578694400305,-226.0
7016.165561747723,-264.0
7016.173254055415,-303.0
7016.180946363107,-262.0
7016.188638670799,-298.0
7016.1963309784915,-296.0
7016.246911282653,-289.0
7016.254603590345,-305.0
7016.262295898037,-274.0
7016.2699882057295,-293.0
7016.277680513422,-289.0
7016.285372821114,-264.0
7016.293065128806,-286.0
7016.300757436498,-257.0
