time_lsl,value
7016.367350270499,"{""type"":""acc"",""t_device"":1756822372.941334,""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-933,30,152],[-934,27,152],[-938,20,153],[-945,12,153],[-953,12,146],[-944,9,146],[-934,8,145],[-929,15,148],[-935,22,141],[-934,26,141],[-933,29,148],[-935,31,152],[-937,30,150],[-938,27,146],[-937,25,145],[-934,26,145],[-933,27,150],[-933,28,151]],""n"":18,""seq"":184}"
7016.8000098955,"{""seq"":133,""t_device"":1756822373.011204,""uV"":[-289,-305,-274,-293,-289,-264,-286,-257,-260,-269,-240,-257,-233,-219,-233,-197,-207,-199,-173,-192,-168,-171,-173,-146,-178,-163,-161,-195,-178,-199,-202,-187,-216,-187,-190,-202,-173,-195,-178,-166,-183,-154,-163,-158,-134,-156,-132,-134,-142,-113,-134,-115,-103,-125,-96,-101,-89,-67,-89,-65,-67,-77,-50,-77,-62,-50,-72,-43,-55,-55,-33,-65,-43],""type"":""ecg"",""fs"":130,""n"":73,""device"":""H10""}"
7016.857243353499,"{""type"":""hr"",""device"":""H10"",""seq"":76,""bpm"":72,""t_device"":1756822373.065857}"
7016.8590209785,"{""type"":""rr"",""device"":""H10"",""ms"":818,""te"":1756822344.2203305,""seq"":90,""t_device"":1756822373.065857}"
7017.1833866875,"{""seq"":186,""mG"":[[-934,28,151],[-939,27,150],[-943,24,149],[-943,21,151],[-943,20,147],[-938,19,144],[-934,25,147],[-938,31,152],[-939,36,153],[-937,38,155],[-939,41,155],[-940,41,153],[-939,41,150],[-938,39,148],[-939,39,146],[-938,36,147],[-940,33,145],[-944,33,143]],""t_device"":1756822373.3892732,""range_g"":4,""type"":""acc"",""fs"":50,""n"":18,""device"":""H10""}"
7017.186375937499,"{""type"":""acc"",""t_device"":1756822373.749273,""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-940,32,142],[-941,28,142],[-944,27,142],[-941,29,145],[-936,35,149],[-935,42,154],[-933,49,153],[-934,46,153],[-939,43,153],[-947,37,150],[-940,30,149],[-938,31,153],[-937,37,151],[-937,40,147],[-934,42,146],[-937,49,148],[-942,51,151],[-943,47,147]],""n"":18,""seq"":187}"
7017.2954239784995,"{""seq"":134,""t_device"":1756822373.51129,""uV"":[-38,-40,2,-12,-2,0,-24,4,-12,-14,12,-12,7,12,0,26,4,0,-2,60,339,568,476,161,-38,4,0,-45,-4,-14,-16,2,-9,14,12,16,43,24,38,45,36,60,55,69,86,72,98,98,101,122,105,115,115,103,120,105,105,110,89,98,86,81,103,86,101,105,98,122,110,118,125,105,120],""type"":""ecg"",""fs"":130,""n"":73,""device"":""H10""}"
7017.8074789785005,"{""seq"":189,""t_device"":1756822374.022347,""mG"":[[-941,40,140],[-942,36,139],[-941,34,137],[-939,35,138],[-937,36,141],[-938,40,144],[-940,41,144],[-940,39,146],[-942,41,148],[-941,36,145],[-938,32,149],[-940,30,149],[-940,30,151],[-942,28,150],[-945,29,150],[-944,29,149],[-940,30,145],[-934,35,145]],""range_g"":4,""type"":""acc"",""fs"":50,""n"":18,""device"":""H10""}"
7017.8082337705,"{""range_g"":4,""t_device"":1756822374.3823469,""device"":""H10"",""fs"":50,""seq"":190,""type"":""acc"",""mG"":[[-933,38,146],[-939,37,147],[-942,38,147],[-944,35,148],[-939,36,147],[-937,39,146],[-935,41,146],[-934,40,148],[-935,39,148],[-937,41,149],[-939,38,150],[-939,34,146],[-936,31,149],[-937,33,151],[-939,37,146],[-936,36,144],[-935,36,145],[-933,42,148]],""n"":18}"
7017.813132687499,"{""bpm"":72,""device"":""H10"",""t_device"":1756822374.028224,""seq"":77,""type"":""hr""}"
7017.813485062499,"{""te"":1756822345.0443304,""type"":""rr"",""device"":""H10"",""seq"":91,""ms"":824,""t_device"":1756822374.028224}"
7017.8438695205,"{""type"":""ecg"",""t_device"":1756822374.0517612,""device"":""H10"",""uV"":[108,101,118,93,103,105,84,101,89,86,93,77,86,74,67,79,60,67,67,57,72,50,55,67,43,52,50,45,60,36,40,43,24,43,45,65,79,50,60,50,38,55,40,50,55,43,57,40,43,55,21,36,163,433,604,399,98,9,33,24,-16,0,21,-2,16,16,12,38,19,26,43,40,57],""fs"":130,""n"":73,""seq"":135}"
7018.437859895499,"{""uV"":[40,55,84,65,89,103,105,137,137,158,171,154,171,163,168,175,146,156,149,130,137,115,118,122,115,144,142,142,156,144,161,158,144,156,134,139,144,122,137,122,118,125,103,115,108,93,110,91,91,93,69,84,77,69,77,55,67,62,50,62,45,48,48,28,48,43,48,69,45,43,36,21,36],""t_device"":1756822374.651441,""device"":""H10"",""fs"":130,""seq"":136,""type"":""ecg"",""n"":73}"
7018.554542895499,"{""range_g"":4,""t_device"":1756822374.74122,""device"":""H10"",""fs"":50,""seq"":192,""type"":""acc"",""mG"":[[-935,41,143],[-935,43,139],[-937,45,142],[-946,46,143],[-949,44,143],[-945,43,142],[-941,40,141],[-941,41,141],[-942,42,137],[-937,41,135],[-939,45,137],[-943,45,135],[-946,41,131],[-947,42,124],[-947,38,117],[-945,36,114],[-949,39,109],[-949,42,103]],""n"":18}"
7018.555064062501,"{""seq"":193,""t_device"":1756822375.10122,""mG"":[[-949,49,104],[-949,57,105],[-946,65,111],[-946,72,112],[-944,72,110],[-942,67,111],[-943,62,121],[-949,56,125],[-950,49,129],[-947,45,129],[-951,41,129],[-949,41,125],[-946,41,119],[-945,46,111],[-943,47,109],[-944,53,102],[-944,54,103],[-943,56,111]],""range_g"":4,""type"":""acc"",""fs"":50,""n"":18,""device"":""H10""}"
7018.8254950205,"{""type"":""hr"",""device"":""H10"",""seq"":78,""bpm"":72,""t_device"":1756822375.040821}"
7018.8266551455,"{""type"":""rr"",""device"":""H10"",""ms"":802,""te"":1756822345.8463304,""seq"":92,""t_device"":1756822375.040821}"
7018.8269697284995,"{""te"":1756822346.6473305,""type"":""rr"",""device"":""H10"",""seq"":93,""ms"":801,""t_device"":1756822375.040821}"
7019.0075178535,"{""type"":""ecg"",""t_device"":1756822375.222394,""device"":""H10"",""uV"":[16,19,26,4,14,7,7,16,-21,-24,72,317,529,373,65,-38,-21,-36,-72,-50,-38,-72,-52,-45,-60,-43,-50,-43,-31,-48,-33,-33,-31,-16,-31,-14,-4,-14,9,0,2,14,-4,7,-2,-7,0,-24,-21,-31,-55,-50,-74,-77,-77,-103,-93,-98,-101,-86,-103,-93,-91,-110,-96,-105,-105,-96,-108,-96,-101,-103,-96],""fs"":130,""n"":73,""seq"":137}"
7019.2165298535,"{""type"":""acc"",""t_device"":1756822375.43204,""device"":""H10"",""range_g"":4,""fs"":50,""mG"":[[-945,58,112],[-944,57,113],[-943,55,112],[-941,60,117],[-947,64,106],[-945,59,99],[-940,56,107],[-946,56,118],[-947,53,118],[-951,49,116],[-947,49,111],[-945,50,118],[-944,53,116],[-942,49,121],[-940,51,119],[-943,50,119],[-946,48,114],[-944,49,120]],""n"":18,""seq"":195}"
7019.2179596455,"{""range_g"":4,""t_device"":1756822375.7920399,""device"":""H10"",""fs"":50,""seq"":196,""type"":""acc"",""mG"":[[-950,50,113],[-945,48,108],[-944,52,113],[-947,51,116],[-945,49,119],[-943,47,120],[-943,48,118],[-945,53,115],[-947,55,116],[-946,55,119],[-944,53,116],[-943,51,114],[-942,49,114],[-942,49,114],[-942,48,114],[-943,49,115],[-944,50,114],[-944,48,114]],""n"":18}"
