LSL_Timestamp,BreathingValue
6582.4665889,0
6582.4863354,0
6582.5061128,0
6582.5258503,0
6582.54561,0
6582.5653639,0
6582.5850773,0
6582.60482,0
6582.6245746,0
6582.644361,19
6582.6640838,38
6582.6838486,74
6582.7035804,108
6582.7233329,138
6582.7431036,166
6582.7628223,194
6582.7825713,224
6582.8023459,253
6582.8221004,284
6582.8418377,314
6582.861586,345
6582.8813306,377
6582.9010794,405
6582.9208353,433
6582.9405793,453
6582.9603312,467
6582.980064,478
6582.9998238,485
6583.0196066,498
6583.0393301,514
6583.0591085,540
6583.0788972,573
6583.0985792,611
6583.1183221,649
6583.1380498,684
6583.1577962,712
6583.1775759,734
6583.1973195,751
6583.2170401,765
6583.2368039,778
6583.2565721,794
6583.2763158,808
6583.2960621,823
6583.3158189,835
6583.3355533,843
6583.355385,850
6583.3750481,855
6583.3948253,861
6583.414549,865
6583.4343309,868
6583.4540559,867
6583.4737924,864
6583.4935731,859
6583.5133381,856
6583.5330749,852
6583.5528358,853
6583.5725988,855
6583.5923544,858
6583.6120846,861
6583.6317983,862
6583.6516541,862
6583.6713559,858
6583.6910742,854
6583.7108042,847
6583.7305464,838
6583.7503234,829
6583.7700461,820
6583.7897868,812
6583.8095248,806
6583.8293202,808
6583.8490432,816
6583.8687908,831
6583.8885133,850
6583.9083454,865
6583.9280496,875
6583.9477606,878
6583.9675435,877
6583.9873315,873
6584.0070227,870
6584.0268052,868
6584.0465325,867
6584.0663208,866
6584.0860286,861
6584.1057888,854
6584.1255771,848
6584.145326,843
6584.1650367,842
6584.1847782,841
6584.2045157,839
6584.2243518,833
6584.2440294,826
6584.2637978,815
6584.2835385,809
6584.3033408,802
6584.32302,802
6584.342807,802
6584.3625078,805
6584.3823207,806
6584.4020268,806
6584.4217715,804
6584.4415212,802
6584.4613504,796
6584.4810433,791
6584.5007769,784
6584.5205372,775
6584.5403391,766
6584.5600202,755
6584.5797579,747
6584.5995332,742
6584.6193504,747
6584.6390326,760
6584.6587393,780
6584.6785027,801
6584.6983287,815
6584.7180336,820
6584.7377636,815
6584.757515,805
6584.7772563,793
6584.7970335,781
6584.8167708,769
6584.8365087,752
6584.8562319,729
6584.8760187,695
6584.8957441,656
6584.9154853,615
6584.9352409,577
6584.9550789,544
6584.9747899,514
6584.9944882,482
6585.0142668,450
6585.0340298,415
6585.0537336,382
6585.0735079,348
6585.0932589,318
6585.11303,290
6585.1327879,263
6585.1525139,238
6585.1722737,213
6585.192009,186
6585.2117651,158
6585.2315024,129
6585.2512581,102
6585.270983,78
6585.2907133,54
6585.3105114,30
6585.3302264,16
6585.3499709,3
6585.3697331,0
6585.3895056,0
6585.4092467,0
6585.4289973,0
6585.4487521,0
6585.468484,0
6585.4882618,0
6585.508033,0
6585.5277462,0
6585.5474808,0
6585.5672249,0
6585.5869703,0
6585.6067035,0
6585.626487,0
6585.6462279,0
6585.6659989,0
6585.685717,0
6585.7054973,0
6585.72523,0
6585.7449846,0
6585.7647223,0
6585.7845641,0
6585.8042362,0
6585.8239982,0
6585.8437086,0
6585.8634697,0
6585.883221,0
6585.9029765,0
6585.9227349,0
6585.942478,0
6585.9622154,0
6585.9819609,0
6586.0017371,0
6586.0214615,0
6586.0412634,0
6586.06096,0
6586.0807379,0
6586.1004754,0
6586.1202526,0
6586.1399908,0
6586.1597448,12
6586.179488,35
6586.1992287,70
6586.2189645,114
6586.2387034,155
6586.258468,191
6586.278226,227
6586.2979792,259
6586.3176897,294
6586.3374914,327
6586.3572008,361
6586.3769811,394
6586.3966998,427
6586.4164836,456
6586.436234,482
6586.4559772,506
6586.4756785,530
6586.495481,555
6586.515201,581
6586.5349464,604
6586.5547077,624
6586.5744707,641
6586.5942136,657
6586.6139615,674
6586.633698,694
6586.65345,715
6586.6732359,736
6586.6929601,757
6586.7127429,774
6586.7324762,789
6586.7522104,801
6586.7719637,813
6586.7917592,823
6586.8114712,833
6586.8312204,841
6586.8509541,847
6586.8707078,851
6586.8904983,855
6586.9101872,861
6586.9299356,871
6586.9497223,888
6586.9694505,909
6586.9892014,929
6587.0089623,939
6587.0287174,940
6587.048451,934
6587.0682064,931
6587.0879636,933
6587.1077,938
6587.1274799,935
6587.147189,925
6587.1669449,908
6587.1866954,895
6587.2064892,893
6587.2261822,908
6587.2459496,932
6587.2656847,957
6587.2854197,973
6587.3051802,975
6587.3249486,967
6587.3446789,951
6587.3644363,936
6587.3841861,918
6587.4039346,897
6587.4236609,870
6587.4435403,838
6587.4631985,805
6587.482927,783
6587.502689,774
6587.5224191,787
6587.5421857,810
6587.5619412,835
6587.5816613,851
6587.6014165,850
6587.6211744,836
6587.6409154,812
6587.6606999,786
6587.6804434,760
6587.7001857,740
6587.7199194,735
6587.7397034,743
6587.7594094,765
6587.7791674,790
6587.7989571,812
6587.8186782,826
6587.8384328,830
6587.8581751,829
6587.8779097,826
6587.8976884,822
6587.9174399,819
6587.9371853,813
6587.9569121,800
6587.9766556,786
6587.9964112,768
6588.0161748,757
6588.0359044,751
6588.0556761,753
6588.0753878,757
6588.0951523,758
6588.1149068,754
6588.1346518,744
6588.1543937,734
6588.1741857,724
6588.1939102,718
6588.2136524,713
6588.2334168,710
6588.2532013,706
6588.2729085,703
6588.2926554,696
6588.312423,691
6588.3321742,683
6588.3518961,677
6588.3716467,670
6588.3914072,663
6588.4111727,653
6588.4309168,644
6588.4506491,636
6588.4704368,634
6588.4901602,642
6588.5099298,660
6588.5296378,686
6588.5494149,709
6588.5691492,725
6588.5889326,730
6588.6086702,725
6588.6283967,718
6588.6481551,711
6588.6679102,709
6588.6876344,710
6588.7073957,711
6588.7271641,709
6588.746924,703
6588.7666681,697
6588.7863971,691
6588.806171,689
6588.8258974,687
6588.8456812,685
6588.8654231,678
6588.8851337,669
6588.9049114,657
6588.9246406,646
6588.9443908,637
6588.9641772,632
6588.9838993,632
6589.0036595,633
6589.0234012,635
6589.0431523,636
6589.0629104,636
6589.082629,631
6589.102389,627
6589.1221667,616
6589.1419085,609
6589.1616635,599
6589.1814834,596
6589.2011796,594
6589.2209146,595
6589.240684,600
6589.2603986,611
6589.2801529,628
6589.2999125,652
6589.3196228,673
6589.339421,690
6589.3591655,699
6589.3788846,702
6589.3986267,701
6589.4183929,699
6589.4381298,697
6589.4578859,694
6589.4776598,690
6589.4973995,684
6589.5171208,675
6589.5368608,661
6589.556643,641
6589.5763872,614
6589.5961539,584
6589.6158738,554
6589.6356398,525
6589.6553736,503
6589.6751413,485
6589.6949227,471
6589.7146272,459
6589.7343912,444
6589.7541093,427
6589.7738772,408
6589.7936294,381
6589.8134072,355
6589.8331145,327
6589.8529028,302
6589.8726231,281
6589.8923999,258
6589.9121147,231
6589.9318898,201
6589.9516191,172
6589.9713488,153
6589.9911232,147
6590.0108635,149
6590.0306048,154
6590.0503431,154
6590.0700976,144
6590.0898355,122
6590.1096171,92
6590.1293751,60
6590.1491183,33
6590.1688807,14
6590.1886189,5
6590.2083567,1
6590.2281104,0
6590.2478606,0
6590.2676006,0
6590.2873597,0
6590.3071051,0
6590.3269835,0
6590.3466177,0
6590.3663596,0
6590.3860776,0
6590.4058325,0
6590.4255993,0
6590.4453614,0
6590.4650826,0
6590.4848559,0
6590.5045998,0
6590.5243586,0
6590.5440802,0
6590.5638691,0
6590.583578,0
6590.6033633,0
6590.6230944,0
6590.6428659,0
6590.6625881,17
6590.6823724,41
6590.702069,84
6590.7218538,133
6590.7416012,179
6590.7613396,219
6590.7810903,254
6590.8008415,285
6590.8205841,318
6590.8403462,349
6590.8600918,380
6590.8798243,406
6590.8995995,432
6590.9193349,454
6590.9390772,477
6590.9588226,498
6590.9786294,518
6590.9983496,538
6591.0180785,560
6591.0378265,580
6591.0575917,600
6591.0773378,618
6591.097078,634
6591.1168084,651
6591.1365713,668
6591.1563559,687
6591.1760562,707
6591.1958122,726
6591.215559,744
6591.2353266,760
6591.2550768,773
6591.2748113,785
6591.2945554,795
6591.3143091,802
6591.3341058,807
6591.353804,808
6591.3735572,807
6591.393307,806
6591.4130656,806
6591.4328146,812
6591.4525631,823
6591.4723184,841
6591.4920789,861
6591.511805,881
6591.5315822,896
6591.5513112,905
6591.5710555,909
6591.5908371,909
6591.6105649,909
6591.6303209,908
6591.6500415,909
6591.6697815,908
6591.6895665,905
6591.7093226,899
6591.7290383,892
6591.7488027,886
6591.7685764,881
6591.7883316,878
6591.8080613,874
6591.8277987,865
6591.8475389,847
6591.8673189,824
6591.8870299,800
6591.9068018,789
6591.9265286,790
6591.9463137,803
6591.9660371,814
6591.9858179,819
6592.005549,814
6592.0253338,801
6592.0450236,781
6592.0647965,760
6592.0845464,734
6592.1043167,710
6592.1240439,688
6592.143754,671
6592.1635712,664
6592.1833488,663
6592.2030504,668
6592.2227619,674
6592.2425208,674
6592.2623064,665
6592.2820294,644
6592.301775,613
6592.3215664,575
6592.3413454,533
6592.3610497,493
6592.3807787,455
6592.4005321,423
6592.4203042,395
6592.4400197,371
6592.4597815,352
6592.4795748,334
6592.4993086,317
6592.5190021,297
6592.5387756,274
6592.5584985,248
6592.5783143,220
6592.5980523,194
6592.6177846,173
6592.6375241,157
6592.6573201,146
6592.6770153,139
6592.6967899,132
6592.7165429,128
6592.7363138,126
6592.7560276,127
6592.775781,132
6592.7955162,141
6592.8153384,153
6592.8350118,172
6592.8547898,196
6592.8745382,228
6592.8943037,264
6592.9140255,302
6592.9337585,340
6592.953507,370
6592.9733206,396
6592.9930397,413
6593.0127772,427
6593.0325236,439
6593.052222,455
6593.0720235,475
6593.0917342,500
6593.1115309,525
6593.1312225,550
6593.1510273,569
6593.1707778,584
6593.1905342,595
6593.2102527,605
6593.2299755,613
6593.2497535,623
6593.2694715,633
6593.2892216,646
6593.308982,659
6593.3287365,676
6593.3484881,695
6593.3683397,714
6593.3879943,734
6593.4077578,749
6593.4274898,761
6593.4473611,770
6593.4669879,776
6593.4867561,780
6593.5064779,784
6593.5262295,783
6593.5459863,782
6593.5657617,784
6593.5854878,793
6593.6052496,810
6593.624975,834
6593.6447471,857
6593.6645071,878
6593.6842325,890
6593.7039819,895
6593.7237537,895
6593.7434811,892
6593.7632191,889
6593.7830056,890
6593.8027452,892
6593.8224961,895
6593.8422308,894
6593.8619766,890
6593.8817659,885
6593.9014643,880
6593.9212447,875
6593.9409889,872
6593.9607436,866
6593.9804652,860
6594.000259,853
6594.0200053,847
6594.0397105,844
6594.0594826,842
6594.0792228,842
6594.0989869,844
6594.1187353,844
6594.1384711,841
6594.1582132,837
6594.1779729,828
6594.1977331,818
6594.217468,803
6594.2372235,789
6594.2569849,777
6594.2767335,774
6594.2964819,782
6594.3162033,801
6594.3359896,825
6594.3556978,845
6594.3754641,857
6594.3951959,856
6594.414974,850
6594.4347134,844
6594.454499,839
6594.4741941,840
6594.493991,840
6594.513735,840
6594.5334737,835
6594.553219,826
6594.5729812,815
6594.5927037,808
6594.6124571,803
6594.632188,801
6594.6519878,798
6594.6717225,791
6594.6914672,784
6594.7112269,772
6594.7309582,764
6594.7507184,758
6594.7704471,755
6594.7902039,757
6594.8099703,759
6594.8297151,762
6594.8494586,761
6594.8692258,757
6594.8889294,749
6594.9087095,738
6594.9284392,726
6594.948197,714
6594.9679498,701
6594.9877149,696
6595.0074596,699
6595.0271969,717
6595.0469436,743
6595.0667053,771
6595.0864589,788
6595.1061878,793
6595.1259275,786
6595.1456687,774
6595.1654612,763
6595.185215,757
6595.2049643,757
6595.2246996,756
6595.2444728,754
6595.264202,748
6595.283949,740
6595.3037261,733
6595.3234591,730
6595.3431618,730
6595.3629359,731
6595.3826902,725
6595.4024504,715
6595.4221701,703
6595.4419376,693
6595.4616757,689
6595.481428,692
6595.5012016,695
6595.52093,697
6595.5406726,694
6595.5604463,687
6595.5801942,679
6595.5999466,670
6595.6196684,662
6595.6394177,654
6595.6591712,645
6595.6789593,638
6595.6986747,635
6595.7184256,642
6595.7382119,657
6595.7579142,678
6595.7777003,696
6595.797448,706
6595.8172156,705
6595.8369421,697
6595.856676,690
6595.8764261,690
6595.8961579,697
6595.9159272,707
6595.935686,710
6595.95543,702
6595.9751686,684
6595.9949322,665
6596.0146945,654
6596.0344212,655
6596.054192,664
6596.0739316,673
6596.0936941,670
6596.1134371,659
6596.1332002,641
6596.1529151,627
6596.1726735,622
6596.1924089,626
6596.2121787,632
6596.2319523,638
6596.2516844,638
6596.2714264,633
6596.2912026,627
6596.3109186,622
6596.3306523,617
6596.3504049,611
6596.3701581,602
6596.3899056,590
6596.409653,580
6596.4294013,577
6596.4491588,587
6596.4689202,608
6596.4886563,636
6596.5084178,661
6596.52817,673
6596.5479253,670
6596.567668,653
6596.587406,628
6596.6071637,601
6596.6269167,577
6596.6466577,554
6596.6664205,531
6596.6861554,499
6596.7059124,463
6596.7256693,420
6596.7454655,375
6596.7651679,334
6596.7849055,295
6596.8046687,264
6596.8244348,235
6596.8441865,211
6596.8639314,187
6596.8836962,161
6596.9034198,134
6596.9231536,104
6596.9428993,74
6596.9626688,45
6596.9824028,21
6597.0021662,8
6597.0219195,0
6597.0416725,0
6597.0614342,0
6597.081181,0
6597.1009009,0
6597.1206483,0
6597.1404244,0
6597.1601595,0
6597.1799212,0
6597.1996692,0
6597.2194378,0
6597.2391593,0
6597.2589169,0
6597.2786408,0
6597.2984001,0
6597.3181684,0
6597.3379215,0
6597.3576728,0
6597.3774262,0
6597.3971662,0
6597.4169097,0
6597.4366747,0
6597.4564247,0
6597.4761782,0
6597.4958855,0
6597.5156581,0
6597.5354345,0
6597.555178,0
6597.5748902,0
6597.5946553,0
6597.6144034,0
6597.6341564,0
6597.6538944,0
6597.6736717,0
6597.6934516,0
6597.7131787,0
6597.732891,0
6597.7526205,0
6597.7724015,0
6597.7921535,0
6597.811879,0
6597.8316521,0
6597.8514019,0
6597.8711315,0
6597.8908705,0
6597.9106334,0
6597.9303971,0
6597.9501359,0
6597.9699661,0
6597.9896606,0
6598.0094053,0
6598.0291459,14
6598.0488883,21
6598.0686592,39
6598.0883925,53
6598.1081647,68
6598.1279069,91
6598.1476423,119
6598.1673733,152
6598.187157,182
6598.2068667,209
6598.2266638,230
6598.2464053,249
6598.266159,269
6598.2858722,290
6598.3056269,308
6598.3253772,326
6598.3451511,338
6598.3649065,351
6598.3846342,362
6598.404406,373
6598.4241278,383
6598.44385,390
6598.463597,398
6598.4833756,409
6598.5031132,426
6598.5228606,447
6598.5426217,470
6598.562348,489
6598.5821319,502
6598.6018567,508
6598.6216096,511
6598.6413626,517
6598.6611168,526
6598.6808462,542
6598.700609,560
6598.7203583,576
6598.7401503,588
6598.7598672,594
6598.7796419,596
6598.7994073,597
6598.8191242,599
6598.8388765,602
6598.8585959,604
6598.8783958,609
6598.8981362,615
6598.9178647,622
6598.937628,626
6598.9573595,626
6598.977116,624
6598.996853,622
6599.0166201,623
6599.0363638,628
6599.0560984,631
6599.075828,630
6599.0956165,624
6599.1153414,610
6599.1350651,590
6599.1548433,569
6599.1745755,547
6599.1943225,532
6599.2141192,520
6599.2338394,513
6599.2535993,511
6599.2733348,516
6599.2931006,531
6599.3128523,556
6599.3325785,580
6599.3523246,599
