time_lsl,x_mG,y_mG,z_mG
774252.6606862423,809.0,-541.0,-18.0
774252.6803706869,814.0,-546.0,-15.0
774252.7000551315,822.0,-546.0,-18.0
774252.7197395761,826.0,-542.0,-13.0
774252.7394240206,817.0,-538.0,-13.0
774252.7591084653,813.0,-545.0,-11.0
774252.7787929098,805.0,-544.0,-14.0
774252.7984773545,807.0,-538.0,-15.0
774252.818161799,809.0,-539.0,-11.0
774252.8378462436,811.0,-543.0,-7.0
774252.8575306882,814.0,-540.0,-14.0
774252.8772151328,817.0,-540.0,-15.0
774252.8968995773,809.0,-543.0,-16.0
774252.9165840219,814.0,-545.0,-9.0
774252.9362684665,817.0,-545.0,-6.0
774252.955952911,822.0,-546.0,-10.0
774252.9756373557,810.0,-541.0,-15.0
774252.9953218002,809.0,-538.0,-8.0
774253.0150062449,804.0,-539.0,-13.0
774253.0346906894,806.0,-538.0,-10.0
774253.0543751341,808.0,-549.0,-12.0
774253.0740595786,810.0,-546.0,-8.0
774253.0937440232,813.0,-545.0,-10.0
774253.1134284678,818.0,-535.0,-11.0
774253.1331129124,815.0,-542.0,-11.0
774253.152797357,819.0,-546.0,-12.0
774253.1724818016,819.0,-538.0,-11.0
774253.1921662461,815.0,-536.0,-14.0
774253.2118506907,813.0,-543.0,-8.0
774253.2315351353,812.0,-548.0,-1.0
774253.2512195798,811.0,-543.0,-3.0
774253.2709040245,812.0,-544.0,-7.0
774253.290588469,812.0,-539.0,-14.0
774253.3102729137,816.0,-538.0,-9.0
774253.3299573582,815.0,-544.0,-7.0
774253.3496418028,815.0,-545.0,-3.0
774253.3693262474,809.0,-545.0,-4.0
774253.389010692,813.0,-546.0,0.0
774253.4086951365,814.0,-541.0,1.0
774253.4283795812,811.0,-547.0,-4.0
774253.4480640257,812.0,-550.0,0.0
774253.4677484703,809.0,-546.0,4.0
774253.4874329149,807.0,-544.0,-4.0
774253.5071173594,815.0,-543.0,1.0
774253.5268018041,820.0,-537.0,-9.0
774253.5464862486,817.0,-533.0,-5.0
774253.5661706933,817.0,-532.0,-5.0
774253.5858551378,815.0,-539.0,-5.0
774253.6055395824,814.0,-546.0,-13.0
774253.625224027,813.0,-550.0,-7.0
774253.6449084716,817.0,-544.0,-10.0
774253.6645929161,815.0,-546.0,-6.0
774253.6842773608,818.0,-546.0,-5.0
774253.7039618053,816.0,-541.0,-3.0
774253.72364625,815.0,-545.0,-3.0
774253.7433306945,807.0,-539.0,-8.0
774253.763015139,807.0,-545.0,-5.0
774253.7826995837,811.0,-540.0,-8.0
774253.8023840282,809.0,-539.0,-7.0
774253.8220684729,810.0,-541.0,-4.0
774253.8417529174,814.0,-542.0,-4.0
774253.861437362,822.0,-542.0,0.0
774253.8811218066,824.0,-540.0,-6.0
774253.9008062512,813.0,-537.0,-9.0
774253.9204906957,809.0,-537.0,-8.0
774253.9401751404,809.0,-537.0,-9.0
774253.9598595849,813.0,-540.0,-6.0
774253.9795440296,820.0,-543.0,-3.0
774253.9992284741,823.0,-542.0,-5.0
774254.0189129187,822.0,-544.0,-4.0
774254.0385973633,817.0,-540.0,-9.0
774254.0582818078,813.0,-537.0,-5.0
774254.0779662525,812.0,-538.0,-10.0
774254.097650697,813.0,-540.0,-3.0
774254.1173351416,810.0,-540.0,-3.0
774254.1370195862,814.0,-547.0,-6.0
774254.1567040308,813.0,-547.0,3.0
774254.1763884753,820.0,-549.0,1.0
774254.19607292,815.0,-546.0,-1.0
774254.2157573645,813.0,-542.0,-3.0
774254.2354418092,811.0,-541.0,-3.0
774254.2551262537,809.0,-545.0,-3.0
774254.2748106983,811.0,-543.0,-3.0
774254.2944951429,818.0,-542.0,-5.0
774254.3141795874,816.0,-537.0,1.0
774254.333864032,818.0,-541.0,-3.0
774254.3535484766,819.0,-540.0,-4.0
774254.3732329212,817.0,-543.0,-1.0
774254.3929173658,817.0,-546.0,-4.0
774254.4126018104,810.0,-543.0,-8.0
774254.432286255,815.0,-541.0,-1.0
774254.4519706996,813.0,-540.0,-6.0
774254.4716551441,815.0,-545.0,-1.0
774254.4913395888,811.0,-538.0,-1.0
774254.5110240333,815.0,-543.0,-5.0
774254.530708478,819.0,-542.0,-1.0
774254.5503929225,818.0,-545.0,-2.0
774254.5700773671,818.0,-543.0,-1.0
774254.5897618117,816.0,-542.0,-1.0
774254.6094462562,809.0,-541.0,-2.0
774254.6291307008,812.0,-539.0,-4.0
774254.6488151454,815.0,-546.0,2.0
774254.66849959,814.0,-539.0,0.0
774254.6881840345,814.0,-539.0,1.0
774254.7078684792,815.0,-543.0,-3.0
774254.7275529237,811.0,-540.0,-2.0
774254.7472373684,809.0,-540.0,-3.0
774254.7669218129,814.0,-547.0,-2.0
774254.7866062575,821.0,-545.0,-1.0
774254.8062907021,825.0,-544.0,-1.0
774254.8259751467,817.0,-544.0,-5.0
774254.8456595913,810.0,-540.0,-7.0
774254.8653440359,806.0,-535.0,-10.0
774254.8850284804,811.0,-540.0,-4.0
774254.904712925,811.0,-539.0,-2.0
774254.9243973696,815.0,-542.0,3.0
774254.9440818141,820.0,-543.0,-3.0
774254.9637662588,817.0,-539.0,-5.0
774254.9834507033,812.0,-543.0,-8.0
774255.003135148,809.0,-542.0,-9.0
774255.0228195925,810.0,-544.0,-8.0
774255.0425040371,809.0,-540.0,-6.0
774255.0621884817,811.0,-539.0,-5.0
774255.0818729263,817.0,-548.0,-1.0
774255.1015573709,821.0,-541.0,-1.0
774255.1212418155,817.0,-544.0,-8.0
774255.14092626,815.0,-545.0,-9.0
774255.1606107046,809.0,-540.0,-1.0
774255.1802951492,808.0,-542.0,-2.0
774255.1999795937,813.0,-544.0,-1.0
774255.2196640384,819.0,-542.0,4.0
774255.2393484829,819.0,-544.0,-1.0
774255.2590329276,818.0,-539.0,-9.0
774255.2787173721,815.0,-542.0,-5.0
774255.2984018167,820.0,-540.0,-7.0
774255.3180862613,817.0,-540.0,-3.0
774255.3377707059,815.0,-540.0,-4.0
774255.3574551505,812.0,-541.0,-3.0
774255.3771395951,810.0,-540.0,-1.0
774255.3968240396,812.0,-543.0,-2.0
774255.4165084843,815.0,-543.0,-4.0
774255.4361929288,815.0,-543.0,-3.0
774255.4558773733,816.0,-540.0,-3.0
774255.475561818,816.0,-542.0,-3.0
774255.4952462625,817.0,-544.0,-5.0
774255.5149307072,814.0,-546.0,1.0
774255.5346151517,813.0,-539.0,-2.0
774255.5542995963,811.0,-539.0,-3.0
774255.5739840409,810.0,-543.0,-2.0
774255.5936684855,814.0,-541.0,-5.0
774255.61335293,813.0,-541.0,-6.0
774255.6330373747,819.0,-544.0,-9.0
774255.6527218192,817.0,-534.0,-3.0
774255.6724062639,809.0,-542.0,-3.0
774255.6920907084,810.0,-549.0,1.0
774255.7117751531,820.0,-549.0,-1.0
774255.7314595976,824.0,-546.0,0.0
774255.7511440421,819.0,-541.0,-7.0
774255.7708284868,811.0,-543.0,-9.0
774255.7905129313,812.0,-543.0,-7.0
774255.810197376,813.0,-539.0,-6.0
774255.8298818205,813.0,-542.0,-4.0
774255.8495662651,813.0,-544.0,0.0
774255.8692507097,819.0,-543.0,-1.0
774255.8889351543,816.0,-544.0,-7.0
774255.9086195988,814.0,-538.0,-8.0
774255.9283040435,812.0,-541.0,-9.0
774255.947988488,812.0,-542.0,-7.0
774255.9676729327,808.0,-537.0,-5.0
774255.9873573772,813.0,-543.0,-7.0
774256.0070418217,817.0,-547.0,-3.0
774256.0267262664,819.0,-540.0,-2.0
774256.0464107109,816.0,-543.0,-6.0
774256.0660951555,812.0,-542.0,-4.0
774256.0857796001,806.0,-540.0,-5.0
774256.1054640447,810.0,-543.0,1.0
774256.1251484893,813.0,-546.0,-1.0
774256.1448329339,817.0,-538.0,1.0
774256.1645173784,818.0,-541.0,-7.0
774256.1842018231,817.0,-540.0,-9.0
774256.2038862676,812.0,-539.0,-5.0
774256.2235707123,817.0,-543.0,-4.0
774256.2432551568,813.0,-540.0,-3.0
774256.2629396014,813.0,-543.0,-1.0
774256.282624046,815.0,-538.0,-7.0
774256.3023084905,811.0,-540.0,-7.0
774256.3219929351,815.0,-539.0,-4.0
774256.3416773797,816.0,-543.0,-5.0
774256.3613618243,816.0,-541.0,-4.0
774256.3810462689,816.0,-540.0,-5.0
774256.4007307135,814.0,-545.0,-4.0
774256.420415158,813.0,-543.0,-1.0
774256.4400996027,816.0,-543.0,-2.0
774256.4597840472,812.0,-540.0,1.0
774256.4794684919,809.0,-539.0,-4.0
774256.4991529364,815.0,-544.0,-1.0
774256.518837381,814.0,-541.0,-3.0
774256.5385218256,814.0,-540.0,-8.0
774256.5582062702,816.0,-539.0,-8.0
774256.5778907147,820.0,-539.0,-1.0
774256.5975751593,812.0,-537.0,-4.0
774256.6172596039,810.0,-540.0,0.0
774256.6369440485,814.0,-551.0,1.0
774256.6566284931,821.0,-550.0,3.0
774256.6763129376,822.0,-545.0,1.0
774256.6959973823,819.0,-542.0,-10.0
774256.7156818268,812.0,-542.0,-7.0
774256.7353662715,808.0,-539.0,-6.0
774256.755050716,813.0,-538.0,-11.0
774256.7747351606,814.0,-543.0,-6.0
774256.7944196052,819.0,-546.0,-1.0
774256.8141040498,822.0,-545.0,-2.0
774256.8337884943,818.0,-539.0,-1.0
774256.8534729389,814.0,-540.0,-5.0
774256.8731573835,813.0,-544.0,-9.0
774256.892841828,812.0,-540.0,-7.0
774256.9125262727,810.0,-541.0,-5.0
774256.9322107172,815.0,-544.0,-3.0
774256.9518951619,817.0,-547.0,-3.0
774256.9715796064,821.0,-542.0,0.0
774256.9912640511,819.0,-542.0,-1.0
774257.0109484956,810.0,-545.0,-7.0
774257.0306329402,809.0,-540.0,-7.0
774257.0503173848,808.0,-543.0,-2.0
774257.0700018294,810.0,-543.0,1.0
774257.089686274,813.0,-544.0,1.0
774257.1093707186,815.0,-544.0,-2.0
774257.1290551631,816.0,-539.0,-5.0
774257.1487396077,814.0,-541.0,-5.0
774257.1684240523,817.0,-540.0,-1.0
774257.1881084968,815.0,-541.0,-1.0
774257.2077929415,815.0,-539.0,-5.0
774257.227477386,811.0,-543.0,0.0
774257.2471618307,810.0,-541.0,-2.0
774257.2668462752,813.0,-543.0,-3.0
774257.2865307198,817.0,-542.0,0.0
774257.3062151644,814.0,-543.0,-7.0
774257.325899609,811.0,-537.0,-5.0
774257.3455840535,815.0,-543.0,-3.0
