time_lsl,uV
567029.7773868389,-139.0
567029.785142255,-146.0
567029.7928976711,-150.0
567029.8006530872,-150.0
567029.8084085034,-141.0
567029.8161639195,-124.0
567029.8239193356,-112.0
567029.8316747517,-110.0
567029.8394301678,-124.0
567029.847185584,-143.0
567029.8549410001,-150.0
567029.8626964162,-150.0
567029.8704518323,-146.0
567029.8782072484,-146.0
567029.8859626646,-150.0
567029.8937180807,-150.0
567029.9014734968,-148.0
567029.9092289129,-148.0
567029.916984329,-150.0
567029.9247397452,-148.0
567029.9324951613,-153.0
567029.9402505774,-103.0
567029.9480059935,182.0
567029.9557614097,623.0
567029.9635168258,642.0
567029.9712722419,33.0
567029.979027658,-457.0
567029.9867830741,-347.0
567029.9945384903,-167.0
567030.0022939064,-215.0
567030.0100493225,-230.0
567030.0178047386,-186.0
567030.0255601547,-201.0
567030.0333155709,-208.0
567030.041070987,-189.0
567030.0488264031,-184.0
567030.0565818192,-189.0
567030.0643372354,-182.0
567030.0720926515,-172.0
567030.0798480676,-167.0
567030.0876034837,-162.0
567030.0953588998,-155.0
567030.103114316,-148.0
567030.1108697321,-143.0
567030.1186251482,-134.0
567030.1263805643,-124.0
567030.1341359804,-117.0
567030.1418913966,-110.0
567030.1496468127,-103.0
567030.1574022288,-95.0
567030.1651576449,-91.0
567030.1729130611,-88.0
567030.1806684772,-93.0
567030.1884238933,-98.0
567030.1961793094,-103.0
567030.2039347255,-115.0
567030.2116901417,-122.0
567030.2194455578,-129.0
567030.2272009739,-139.0
567030.23495639,-146.0
567030.2427118061,-150.0
567030.2504672223,-158.0
567030.2582226384,-167.0
567030.2659780545,-177.0
567030.2737334706,-184.0
567030.2814888867,-194.0
567030.2892443029,-196.0
567030.296999719,-196.0
567030.3047551351,-194.0
567030.3125105512,-191.0
567030.3202659674,-194.0
567030.3280213835,-189.0
567030.3357767996,-182.0
567030.3435322157,-179.0
567030.3512876318,-177.0
567030.359043048,-172.0
567030.3667984641,-170.0
567030.3745538802,-165.0
567030.3823092963,-165.0
567030.3900647124,-170.0
