LSL_Timestamp,BreathingValue
158376.5697933,667
158376.5894742,674
158376.6092827,681
158376.6289853,689
158376.6488073,697
158376.6684682,704
158376.6882238,714
158376.7079886,720
158376.7277801,729
158376.7475058,733
158376.7672701,737
158376.7869744,739
158376.806769,743
158376.8266185,745
158376.8462729,746
158376.8660106,742
158376.8857804,737
158376.9055061,729
158376.9252499,725
158376.9450096,727
158376.9647813,734
158376.9844983,742
158377.0042778,750
158377.0239977,752
158377.043781,750
158377.0635178,748
158377.083277,746
158377.1030395,748
158377.1227782,754
158377.1425754,760
158377.1622751,766
158377.1820255,768
158377.2018153,767
158377.2215248,764
158377.241275,763
158377.2610519,762
158377.2807734,762
158377.3005699,761
158377.3203312,757
158377.3400551,754
158377.3598318,750
158377.3795717,748
158377.3993055,748
158377.4190547,748
158377.4388501,748
158377.4585694,748
158377.4783161,747
158377.4980799,747
158377.5177948,747
158377.5375496,746
158377.5573719,744
158377.5770478,741
158377.5968252,738
158377.6165703,736
158377.6363163,732
158377.6560923,727
158377.6758191,717
158377.6955957,707
158377.7153205,697
158377.7350666,695
158377.7548196,699
158377.7745687,708
158377.7943244,718
158377.8140997,723
158377.8338238,723
158377.8536078,716
158377.8733444,710
158377.8930994,706
158377.9128413,708
158377.9325924,714
158377.9523573,721
158377.9722054,724
158377.9918609,723
158378.0116292,719
158378.0313746,716
158378.0511461,713
158378.070883,713
158378.0906237,711
158378.110379,706
158378.1301873,702
158378.1498746,696
158378.1696236,693
158378.1893699,692
158378.2091294,692
158378.2288801,693
158378.2486193,694
158378.2683722,693
158378.2881216,692
158378.3079862,690
158378.3276693,689
158378.3474162,686
158378.3671558,686
158378.3869128,681
158378.4066604,679
158378.4264123,675
158378.4461615,670
158378.4659016,663
158378.4856716,654
158378.5053989,644
158378.5251493,636
158378.5449178,635
158378.5647115,640
158378.5844266,649
158378.6041872,658
158378.623974,665
158378.6436735,663
158378.6634268,659
158378.6832014,651
158378.7029214,647
158378.722698,647
158378.7424621,651
158378.7622086,655
158378.781953,655
158378.8017907,650
158378.8214422,641
158378.8411981,630
158378.8609872,621
158378.880709,611
158378.9004494,602
158378.9201936,588
158378.9399788,575
158378.9597835,561
158378.9794674,548
158378.9992302,539
158379.0189604,530
158379.0387738,521
158379.0585102,512
158379.0782561,502
158379.0979984,491
158379.1178129,482
158379.1375093,471
158379.157248,462
158379.177055,452
158379.1967984,442
158379.2164803,433
158379.2362553,424
158379.2559894,416
158379.2757673,404
158379.2955054,389
158379.3152615,371
158379.3350409,351
158379.3547794,339
158379.3745027,332
158379.3942798,330
158379.4140125,327
158379.4337888,318
158379.4535103,306
158379.4732643,286
158379.4930393,271
158379.5127835,258
158379.5325379,251
158379.552372,246
158379.5720283,243
158379.5917667,236
158379.6116147,225
158379.631314,213
158379.6510417,201
158379.6707955,192
